FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
06021,California,Glenn County,27992,14130,13862,12738,12509,7571,7757,15328,12664,No,45.24%,301,1%,10826,38.68%
06023,California,Humboldt County,134827,67538,67289,57114,56754,51562,51540,103102,31725,No,23.53%,1788,1%,13831,10.26%
06025,California,Imperial County,176948,90891,86057,80141,78175,12682,10579,23261,153687,Yes,86.85%,6463,4%,143739,81.23%
06027,California,Inyo County,18495,9293,9202,7636,7501,6059,5967,12026,6469,No,34.98%,151,1%,3759,20.32%
06029,California,Kern County,856158,439580,416578,365114,345087,161670,159881,321551,534607,Yes,62.44%,53833,6%,430807,50.32%
06031,California,Kings County,151364,84597,66767,67969,55237,28709,23826,52535,98829,Yes,65.29%,11412,8%,78765,52.04%
06033,California,Lake County,63983,32109,31874,28240,28128,23331,23611,46942,17041,No,26.63%,1285,2%,11521,18.01%
06035,California,Lassen County,33658,21635,12023,16881,10536,12789,9448,22237,11421,No,33.93%,3013,9%,6111,18.16%
06037,California,Los Angeles County,9962789,4914006,5048783,3571798,3560611,1367211,1355624,2722835,7239954,Yes,72.67%,923555,9%,4802133,48.20%
06039,California,Madera County,152218,74022,78196,64679,66764,26825,29573,56398,95820,Yes,62.95%,6238,4%,84062,55.22%
06041,California,Marin County,256069,125372,130697,107955,112944,89683,96611,186294,69775,No,27.25%,7412,3%,40121,15.67%
06043,California,Mariposa County,17905,9121,8784,8239,7977,7492,7284,14776,3129,No,17.48%,183,1%,1703,9.51%
06045,California,Mendocino County,87428,43602,43826,37975,37970,29109,30029,59138,28290,No,32.36%,818,1%,20140,23.04%
06047,California,Merced County,262305,132417,129888,108342,106364,39656,40953,80609,181696,Yes,69.27%,11199,4%,147211,56.12%
06049,California,Modoc County,9327,4704,4623,4173,4122,3631,3623,7254,2073,No,22.23%,101,1%,1346,14.43%
06051,California,Mono County,14348,7729,6619,7143,6094,5194,4390,9584,4764,No,33.20%,96,1%,3906,27.22%
06053,California,Monterey County,426762,219443,207319,180887,170848,67968,68475,136443,290319,Yes,68.03%,15648,4%,240870,56.44%
06055,California,Napa County,139045,69338,69707,59540,59535,37339,39401,76740,62305,No,44.81%,3138,2%,46015,33.09%
06057,California,Nevada County,98292,48531,49761,45659,46689,41682,42999,84681,13611,No,13.85%,481,0%,8789,8.94%
06059,California,Orange County,3090132,1528718,1561414,1147011,1153697,657354,672989,1330343,1759789,Yes,56.95%,63299,2%,1055225,34.15%
06061,California,Placer County,361682,176673,185009,153473,160068,132581,139282,271863,89819,No,24.83%,5765,2%,48002,13.27%
06063,California,Plumas County,19399,9708,9691,8862,8849,8155,8239,16394,3005,No,15.49%,188,1%,1599,8.24%
06065,California,Riverside County,2268783,1130165,1138618,917296,916683,433500,441074,874574,1394209,Yes,61.45%,158919,7%,1055510,46.52%
06067,California,Sacramento County,1450121,710199,739922,465877,481145,336149,355371,691520,758601,Yes,52.31%,157728,11%,319529,22.03%
06069,California,San Benito County,56884,28483,28401,25286,25180,10537,10664,21201,35683,Yes,62.73%,731,1%,32614,57.33%
06071,California,San Bernardino County,2081313,1036274,1045039,809679,805707,333189,333224,666413,1414900,Yes,67.98%,200072,10%,1050372,50.47%
06073,California,San Diego County,3177063,1596752,1580311,1232296,1204634,773481,739832,1513313,1663750,Yes,52.37%,177261,6%,1037685,32.66%
06075,California,San Francisco County,825863,420224,405639,240133,208238,184611,159446,344057,481806,Yes,58.34%,50335,6%,126876,15.36%
06077,California,San Joaquin County,702612,349916,352696,240915,239743,120620,125322,245942,456670,Yes,65.00%,57448,8%,279104,39.72%
