Species.ID.number,Kingdom,Phylum,Class,Order,Family,Species,Red.List.status
22680384,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya baeri,CR
22680380,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya innotata,CR
22679954,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Branta ruficollis,EN
22679929,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Branta sandvicensis,VU
22680418,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Camptorhynchus labradorius,EX
62239833,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Chenonetta finschi,EX
22680427,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Clangula hyemalis,VU
22679961,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cyanochen cyanoptera,VU
22679770,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna arborea,VU
22680121,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Hymenolaimus malacorhynchos,EN
22680339,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Marmaronetta angustirostris,VU
22724836,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Melanitta fusca,EN
22680496,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus australis,EX
22680482,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus octosetaceus,CR
22680488,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergus squamatus,EN
22679814,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Oxyura leucocephala,EN
22680415,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Polysticta stelleri,VU
22680344,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Rhodonessa caryophyllacea,CR
22680127,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Salvadorina waigiuensis,VU
22680038,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Tachyeres leucocephalus,VU
22680021,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Tadorna cristata,CR
